Place_in_Text,Latitude,Longitude,Year,Poem_Title,Author,Dynasty,Place_Name_EN,Source_File
西安,34.347436,108.946306,744年,赠薛校书,李白,盛唐,,0524.txt
西安,34.347436,108.946306,742年10月,温泉侍从归逢故人,李白,盛唐,,0524.txt
西安,34.347436,108.946306,730年,夜别张五,李白,盛唐,,0524.txt
西安,34.347436,108.946306,731年,送友人入蜀,李白,盛唐,,0524.txt
西安,34.347436,108.946306,742年10月,侍从游宿温泉宫作,李白,盛唐,,0524.txt
西安,34.347436,108.946306,743年,赠郭将军,李白,盛唐,,0524.txt
西安,34.347436,108.946306,744年春,送贺监归四明应制,李白,盛唐,,0524.txt
西安,34.347436,108.946306,743年,杜陵绝句,李白,盛唐,,0524.txt
西安,34.347436,108.946306,743年,怨情,李白,盛唐,,0524.txt
西安,34.347436,108.946306,744年春,送贺宾客归越,李白,盛唐,,0524.txt
西安,34.347436,108.946306,743年,春怨,李白,盛唐,,0524.txt
西安,34.347436,108.946306,743年,夕霁杜陵登楼寄韦繇,李白,盛唐,,0524.txt
西安,34.347436,108.946306,743年,送窦司马贬宜春,李白,盛唐,,0524.txt
西安,34.347436,108.946306,743年,秋夜独坐怀故山,李白,盛唐,,0524.txt
西安,34.347436,108.946306,743年,塞上曲,李白,盛唐,,0524.txt
西安,34.347436,108.946306,743年,春思,李白,盛唐,,0524.txt
西安,34.347436,108.946306,743年,侍从宜春苑奉诏赋龙池柳色初青听新莺百啭歌,李白,盛唐,,0524.txt
西安,34.347436,108.946306,743年秋,玉壶吟,李白,盛唐,,0524.txt
西安,34.347436,108.946306,743年,西岳云台歌送丹丘子,李白,盛唐,,0524.txt
西安,34.347436,108.946306,743年,同族弟金城尉叔卿烛照山水壁画歌,李白,盛唐,,0524.txt
西安,34.347436,108.946306,730年,玉真仙人词,李白,盛唐,,0524.txt
西安,34.347436,108.946306,730年,读诸葛武侯传书怀赠长安崔少府叔封昆季,李白,盛唐,,0524.txt
西安,34.347436,108.946306,742年10月,驾去温泉后赠杨山人,李白,盛唐,,0524.txt
西安,34.347436,108.946306,730年,赠裴十四,李白,盛唐,,0524.txt
西安,34.347436,108.946306,753年,述德兼陈情上哥舒大夫,李白,盛唐,,0524.txt
西安,34.347436,108.946306,743年,赠卢徵君昆弟,李白,盛唐,,0524.txt
西安,34.347436,108.946306,753年,走笔赠独孤驸马,李白,盛唐,,0524.txt
西安,34.347436,108.946306,730年,秋山寄卫尉张卿及王徵君,李白,盛唐,,0524.txt
西安,34.347436,108.946306,743年,望终南山寄紫阁隐者,李白,盛唐,,0524.txt
西安,34.347436,108.946306,743年,赠别王山人归布山,李白,盛唐,,0524.txt
西安,34.347436,108.946306,744年春,灞陵行送别,李白,盛唐,,0524.txt
西安,34.347436,108.946306,743年,送羽林陶将军,李白,盛唐,,0524.txt
西安,34.347436,108.946306,743年,送程刘二侍郎兼独孤判官赴安西幕府,李白,盛唐,,0524.txt
西安,34.347436,108.946306,743年,送张遥之寿阳幕府,李白,盛唐,,0524.txt
西安,34.347436,108.946306,744年,送于十八应四子举落第还嵩山,李白,盛唐,,0524.txt
西安,34.347436,108.946306,743年,送族弟绾从军安西,李白,盛唐,,0524.txt
西安,34.347436,108.946306,743年,送祝八之江东赋得浣纱石,李白,盛唐,,0524.txt
西安,34.347436,108.946306,730年,荅长安崔少府叔封游终南翠微寺太宗皇帝金沙泉见寄,李白,盛唐,,0524.txt
西安,34.347436,108.946306,744年,以诗代书荅元丹丘,李白,盛唐,,0524.txt
西安,34.347436,108.946306,743年,金门荅苏秀才,李白,盛唐,,0524.txt
西安,34.347436,108.946306,753年,詶王补阙惠翼庄庙宋丞泚赠别,李白,盛唐,,0524.txt
西安,34.347436,108.946306,743年,下终南山过斛斯山人宿置酒,李白,盛唐,,0524.txt
西安,34.347436,108.946306,743年,朝下过卢郎中叙旧游,李白,盛唐,,0524.txt
西安,34.347436,108.946306,744年,上元夫人,李白,盛唐,,0524.txt
西安,34.347436,108.946306,731年,春归终南山松龛旧隐,李白,盛唐,,0524.txt
